,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
42,2020-09-24,405.7510359232565,342.74149870218196,467.1082204824918,405.7510359232565,405.7510359232565,1.2077076163585074,1.2077076163585074,1.2077076163585074,1.2077076163585074,1.2077076163585074,1.2077076163585074,0.0,0.0,0.0,406.958743539615
43,2020-09-25,407.30433899710255,341.736191026082,476.38912802224513,407.30433899710255,407.30433899710255,1.9735357218248786,1.9735357218248786,1.9735357218248786,1.9735357218248786,1.9735357218248786,1.9735357218248786,0.0,0.0,0.0,409.2778747189274
44,2020-09-28,411.96424821864065,345.3158001271459,478.12526039266555,411.96424821864065,411.96424821864065,-0.041948689254229315,-0.041948689254229315,-0.041948689254229315,-0.041948689254229315,-0.041948689254229315,-0.041948689254229315,0.0,0.0,0.0,411.9222995293864
45,2020-09-29,413.51755129248664,352.7255552565105,479.32511955179444,413.5175512924866,413.5175512924866,3.029316180422849,3.029316180422849,3.029316180422849,3.029316180422849,3.029316180422849,3.029316180422849,0.0,0.0,0.0,416.54686747290947
46,2020-09-30,415.0708543663327,351.086515643544,481.05764517782046,415.0708543663327,415.0708543663327,1.2250462902066688,1.2250462902066688,1.2250462902066688,1.2250462902066688,1.2250462902066688,1.2250462902066688,0.0,0.0,0.0,416.29590065653935
47,2020-10-01,416.6241574401787,352.8365570545613,487.05797933860816,416.6241574401787,416.6241574401787,1.2077076163543812,1.2077076163543812,1.2077076163543812,1.2077076163543812,1.2077076163543812,1.2077076163543812,0.0,0.0,0.0,417.83186505653305
48,2020-10-02,418.17746051402474,357.61525568344143,485.6429658595256,418.17746051402474,418.17746051402474,1.9735357218208596,1.9735357218208596,1.9735357218208596,1.9735357218208596,1.9735357218208596,1.9735357218208596,0.0,0.0,0.0,420.1509962358456
49,2020-10-05,422.83736973746255,360.71295880952,489.17887931438503,422.83736973746255,422.83736973746255,-0.04194868924970528,-0.04194868924970528,-0.04194868924970528,-0.04194868924970528,-0.04194868924970528,-0.04194868924970528,0.0,0.0,0.0,422.79542104821286
50,2020-10-06,424.3906728119418,359.2597457268016,491.98052368961055,424.3906728119418,424.3906728119418,3.0293161804238458,3.0293161804238458,3.0293161804238458,3.0293161804238458,3.0293161804238458,3.0293161804238458,0.0,0.0,0.0,427.41998899236563
51,2020-10-07,425.9439758864211,364.1652892157954,491.6929387014477,425.9439758864211,425.9439758864211,1.22504629021181,1.22504629021181,1.22504629021181,1.22504629021181,1.22504629021181,1.22504629021181,0.0,0.0,0.0,427.1690221766329
52,2020-10-08,427.4972789609003,361.8249421348968,491.20052343217475,427.4972789609003,427.4972789609003,1.2077076163586538,1.2077076163586538,1.2077076163586538,1.2077076163586538,1.2077076163586538,1.2077076163586538,0.0,0.0,0.0,428.704986577259
53,2020-10-09,429.0505820353796,372.2093366458507,494.04232840427403,429.0505820353796,429.0505820353796,1.9735357218221383,1.9735357218221383,1.9735357218221383,1.9735357218221383,1.9735357218221383,1.9735357218221383,0.0,0.0,0.0,431.02411775720174
54,2020-10-12,433.71049125881734,370.1191265008592,499.3747966725183,433.71049125881734,433.71049125881734,-0.04194868924518134,-0.04194868924518134,-0.04194868924518134,-0.04194868924518134,-0.04194868924518134,-0.04194868924518134,0.0,0.0,0.0,433.66854256957214
55,2020-10-13,435.26379433329663,372.2579936362196,503.4544741710105,435.26379433329663,435.26379433329663,3.029316180426991,3.029316180426991,3.029316180426991,3.029316180426991,3.029316180426991,3.029316180426991,0.0,0.0,0.0,438.2931105137236
56,2020-10-14,436.81709740777586,373.3672493786288,502.46667836797064,436.81709740777586,436.81709740777586,1.2250462902120594,1.2250462902120594,1.2250462902120594,1.2250462902120594,1.2250462902120594,1.2250462902120594,0.0,0.0,0.0,438.0421436979879
57,2020-10-15,438.3704065779668,375.14601364272363,502.60152390936827,438.3704065779668,438.3704065779668,1.2077076163587266,1.2077076163587266,1.2077076163587266,1.2077076163587266,1.2077076163587266,1.2077076163587266,0.0,0.0,0.0,439.5781141943255
58,2020-10-16,439.92371574815775,375.2182336783814,508.09360398607043,439.92371574815775,439.92371574815775,1.9735357218181189,1.9735357218181189,1.9735357218181189,1.9735357218181189,1.9735357218181189,1.9735357218181189,0.0,0.0,0.0,441.89725146997586
59,2020-10-19,444.58364325873066,379.7820402053617,509.3361353091848,444.58364325873066,444.58364325873066,-0.041948689244142794,-0.041948689244142794,-0.041948689244142794,-0.041948689244142794,-0.041948689244142794,-0.041948689244142794,0.0,0.0,0.0,444.54169456948654
60,2020-10-20,446.13695242892163,383.89135818691284,516.0945153855125,446.13695242892163,446.13695242892163,3.029316180420809,3.029316180420809,3.029316180420809,3.029316180420809,3.029316180420809,3.029316180420809,0.0,0.0,0.0,449.16626860934247
61,2020-10-21,447.69026159911255,384.92410123322867,514.0059050264937,447.69026159911255,447.69026159911255,1.2250462902073624,1.2250462902073624,1.2250462902073624,1.2250462902073624,1.2250462902073624,1.2250462902073624,0.0,0.0,0.0,448.91530788931993
62,2020-10-22,449.2435707693035,388.83899783455394,519.936718788403,449.2435707693035,449.2435707693035,1.207707616353132,1.207707616353132,1.207707616353132,1.207707616353132,1.207707616353132,1.207707616353132,0.0,0.0,0.0,450.4512783856566
63,2020-10-23,450.7968799394945,384.3386786991225,511.8542001625856,450.7968799394945,450.7968799394945,1.9735357218167486,1.9735357218167486,1.9735357218167486,1.9735357218167486,1.9735357218167486,1.9735357218167486,0.0,0.0,0.0,452.77041566131123
64,2020-10-26,455.45680745006746,394.6825166680341,521.0049530026598,455.45680745006746,455.45680745006746,-0.04194868923613393,-0.04194868923613393,-0.04194868923613393,-0.04194868923613393,-0.04194868923613393,-0.04194868923613393,0.0,0.0,0.0,455.41485876083135
65,2020-10-27,457.9401675541987,396.5617144491071,528.7508640366281,457.9401675541987,457.9401675541987,3.029316180423954,3.029316180423954,3.029316180423954,3.029316180423954,3.029316180423954,3.029316180423954,0.0,0.0,0.0,460.96948373462266
66,2020-10-28,460.42352765833,399.8711783503465,525.415326658988,460.42352765833,460.42352765833,1.2250462902125023,1.2250462902125023,1.2250462902125023,1.2250462902125023,1.2250462902125023,1.2250462902125023,0.0,0.0,0.0,461.6485739485425
67,2020-10-29,462.9068877624612,394.5525101565794,528.9815520595366,462.9068877624612,462.9068877624612,1.2077076163532048,1.2077076163532048,1.2077076163532048,1.2077076163532048,1.2077076163532048,1.2077076163532048,0.0,0.0,0.0,464.11459537881444
68,2020-10-30,465.39024786659246,397.4118983000563,533.0395340271627,465.39024786659246,465.39024786659246,1.9735357218127296,1.9735357218127296,1.9735357218127296,1.9735357218127296,1.9735357218127296,1.9735357218127296,0.0,0.0,0.0,467.36378358840517
69,2020-11-02,472.8403281789862,402.98740149314966,535.9666740375897,472.8403281789862,472.8403281789862,-0.04194868925564069,-0.04194868925564069,-0.04194868925564069,-0.04194868925564069,-0.04194868925564069,-0.04194868925564069,0.0,0.0,0.0,472.79837948973056
70,2020-11-03,475.3236882831175,412.72512644172866,545.5319868796521,475.3236882831175,475.3236882831175,3.0293161804224362,3.0293161804224362,3.0293161804224362,3.0293161804224362,3.0293161804224362,3.0293161804224362,0.0,0.0,0.0,478.35300446353995
71,2020-11-04,477.8070483872487,413.45989057424725,546.04519538192,477.8070483872487,477.8070483872487,1.2250462902078054,1.2250462902078054,1.2250462902078054,1.2250462902078054,1.2250462902078054,1.2250462902078054,0.0,0.0,0.0,479.0320946774565
72,2020-11-05,480.29040849138005,411.32891711397025,543.5364485871468,480.29040849138005,480.29040849138005,1.2077076163574778,1.2077076163574778,1.2077076163574778,1.2077076163574778,1.2077076163574778,1.2077076163574778,0.0,0.0,0.0,481.49811610773753
73,2020-11-06,483.8667629508269,423.1893114853224,549.8945675255283,483.8667629508269,483.8667629508269,1.9735357218140084,1.9735357218140084,1.9735357218140084,1.9735357218140084,1.9735357218140084,1.9735357218140084,0.0,0.0,0.0,485.8402986726409
74,2020-11-09,494.5958263291677,434.8323277894841,558.1632390966793,494.5958263291677,494.5958263291677,-0.041948689251116555,-0.041948689251116555,-0.041948689251116555,-0.041948689251116555,-0.041948689251116555,-0.041948689251116555,0.0,0.0,0.0,494.5538776399166
75,2020-11-10,498.1721807886146,440.4654047273888,565.9573248867449,498.1721807886146,498.1721807886146,3.0293161804234323,3.0293161804234323,3.0293161804234323,3.0293161804234323,3.0293161804234323,3.0293161804234323,0.0,0.0,0.0,501.20149696903803
76,2020-11-11,501.7485352480616,438.01160924671024,568.7101639251626,501.7485352480616,501.7485352480616,1.2250462902080266,1.2250462902080266,1.2250462902080266,1.2250462902080266,1.2250462902080266,1.2250462902080266,0.0,0.0,0.0,502.9735815382696
77,2020-11-12,505.3248897075085,441.97897623714914,569.8580085237311,505.3248897075085,505.3248897075085,1.2077076163533513,1.2077076163533513,1.2077076163533513,1.2077076163533513,1.2077076163533513,1.2077076163533513,0.0,0.0,0.0,506.5325973238618
78,2020-11-13,508.90124416695545,445.92336800037356,574.0170961832998,508.90124416695545,508.90124416695545,1.973535721820857,1.973535721820857,1.973535721820857,1.973535721820857,1.973535721820857,1.973535721820857,0.0,0.0,0.0,510.8747798887763
79,2020-11-16,519.6303075452963,460.1156235228614,584.1495952541682,519.6303075452963,519.6303075452963,-0.04194868925007753,-0.04194868925007753,-0.04194868925007753,-0.04194868925007753,-0.04194868925007753,-0.04194868925007753,0.0,0.0,0.0,519.5883588560463
80,2020-11-17,523.2066620047432,460.68886361681984,595.4958635391816,523.2066620047432,523.2066620047432,3.029316180421915,3.029316180421915,3.029316180421915,3.029316180421915,3.029316180421915,3.029316180421915,0.0,0.0,0.0,526.2359781851651
81,2020-11-18,527.2817170705607,461.2968871928606,589.2457375016526,527.2817170705607,527.2817170705607,1.2250462902082766,1.2250462902082766,1.2250462902082766,1.2250462902082766,1.2250462902082766,1.2250462902082766,0.0,0.0,0.0,528.506763360769
82,2020-11-19,531.3567721363781,466.9193165372766,598.3790085563467,531.3567721363781,531.3567721363781,1.207707616357624,1.207707616357624,1.207707616357624,1.207707616357624,1.207707616357624,1.207707616357624,0.0,0.0,0.0,532.5644797527358
83,2020-11-20,535.4318272021957,470.06280318444544,603.6152544809999,535.4318272021957,535.4318272021957,1.9735357218194862,1.9735357218194862,1.9735357218194862,1.9735357218194862,1.9735357218194862,1.9735357218194862,0.0,0.0,0.0,537.4053629240152
84,2020-11-23,547.656992399648,484.69379683964996,614.2237152542847,547.656992399648,547.656992399648,-0.04194868924206886,-0.04194868924206886,-0.04194868924206886,-0.04194868924206886,-0.04194868924206886,-0.04194868924206886,0.0,0.0,0.0,547.6150437104059
85,2020-11-24,551.7320474654654,486.5633426967336,620.9040110104145,551.7320474654654,551.7320474654654,3.02931618042506,3.02931618042506,3.02931618042506,3.02931618042506,3.02931618042506,3.02931618042506,0.0,0.0,0.0,554.7613636458905
86,2020-11-25,555.8071025312829,492.5312786168929,622.6105919195223,555.8071025312829,555.8071025312829,1.2250462902134165,1.2250462902134165,1.2250462902134165,1.2250462902134165,1.2250462902134165,1.2250462902134165,0.0,0.0,0.0,557.0321488214963
87,2020-11-27,563.9572126629178,500.65902456799483,629.0782931048393,563.9572126629178,563.9572126629178,1.9735357218181158,1.9735357218181158,1.9735357218181158,1.9735357218181158,1.9735357218181158,1.9735357218181158,0.0,0.0,0.0,565.9307483847359
88,2020-11-30,576.18237786037,511.69983268503364,642.4729891357321,576.18237786037,576.18237786037,-0.04194868924103022,-0.04194868924103022,-0.04194868924103022,-0.04194868924103022,-0.04194868924103022,-0.04194868924103022,0.0,0.0,0.0,576.140429171129
89,2020-12-01,580.2574329477279,517.5556492712506,651.332436861746,580.2574329477279,580.2574329477279,3.029316180418878,3.029316180418878,3.029316180418878,3.029316180418878,3.029316180418878,3.029316180418878,0.0,0.0,0.0,583.2867491281468
90,2020-12-02,584.3324880350858,523.611699545658,652.3170964148661,584.3324880350858,584.3324880350858,1.2250462902087196,1.2250462902087196,1.2250462902087196,1.2250462902087196,1.2250462902087196,1.2250462902087196,0.0,0.0,0.0,585.5575343252946
91,2020-12-03,588.4075431224436,525.3527823907119,652.8129218913953,588.4075431224436,588.4075431224436,1.2077076163577705,1.2077076163577705,1.2077076163577705,1.2077076163577705,1.2077076163577705,1.2077076163577705,0.0,0.0,0.0,589.6152507388014
92,2020-12-04,592.4825982098014,530.7617432753692,660.2387307963545,592.4825982098014,592.4825982098014,1.9735357218276133,1.9735357218276133,1.9735357218276133,1.9735357218276133,1.9735357218276133,1.9735357218276133,0.0,0.0,0.0,594.456133931629
93,2020-12-07,604.7077634718751,539.9344433365644,666.3550642087732,604.7077634718751,604.7077634718751,-0.0419486892605367,-0.0419486892605367,-0.0419486892605367,-0.0419486892605367,-0.0419486892605367,-0.0419486892605367,0.0,0.0,0.0,604.6658147826146
94,2020-12-08,608.7828185592329,547.2577348529782,677.695134548569,608.7828185592329,608.7828185592329,3.029316180422023,3.029316180422023,3.029316180422023,3.029316180422023,3.029316180422023,3.029316180422023,0.0,0.0,0.0,611.8121347396549
95,2020-12-09,612.8578736465907,548.6211851552667,676.4304345965124,612.8578736465909,612.8578736465909,1.2250462902089407,1.2250462902089407,1.2250462902089407,1.2250462902089407,1.2250462902089407,1.2250462902089407,0.0,0.0,0.0,614.0829199367997
96,2020-12-10,616.9329287339486,553.4928939125753,682.038506971234,616.9329287339488,616.9329287339488,1.2077076163563754,1.2077076163563754,1.2077076163563754,1.2077076163563754,1.2077076163563754,1.2077076163563754,0.0,0.0,0.0,618.140636350305
97,2020-12-11,621.00798379657,562.1626569082719,689.8213075408021,621.00798379657,621.00798379657,1.9735357218235943,1.9735357218235943,1.9735357218235943,1.9735357218235943,1.9735357218235943,1.9735357218235943,0.0,0.0,0.0,622.9815195183936
98,2020-12-14,633.2331489844338,568.2671309648482,696.5392315255726,633.2331489844338,633.2331489844338,-0.041948689252528024,-0.041948689252528024,-0.041948689252528024,-0.041948689252528024,-0.041948689252528024,-0.041948689252528024,0.0,0.0,0.0,633.1912002951813
99,2020-12-15,637.3082040470551,577.3958329697707,701.2415619390796,637.3082040470551,637.3082040470551,3.0293161804230198,3.0293161804230198,3.0293161804230198,3.0293161804230198,3.0293161804230198,3.0293161804230198,0.0,0.0,0.0,640.3375202274782
100,2020-12-16,641.3832591096764,574.8000171109408,705.1981538914443,641.3832591096764,641.3832591096764,1.225046290209162,1.225046290209162,1.225046290209162,1.225046290209162,1.225046290209162,1.225046290209162,0.0,0.0,0.0,642.6083053998856
101,2020-12-17,645.4583141722976,581.7037352576926,712.0485862144834,645.4583141722976,645.4583141722976,1.2077076163564486,1.2077076163564486,1.2077076163564486,1.2077076163564486,1.2077076163564486,1.2077076163564486,0.0,0.0,0.0,646.666021788654
102,2020-12-18,649.533369234919,589.4946900281384,714.8122522912879,649.533369234919,649.533369234919,1.9735357218248728,1.9735357218248728,1.9735357218248728,1.9735357218248728,1.9735357218248728,1.9735357218248728,0.0,0.0,0.0,651.5069049567438
103,2020-12-21,661.7585344227829,593.9755466805132,730.664691437232,661.7585344227829,661.7585344227829,-0.04194868925148901,-0.04194868925148901,-0.04194868925148901,-0.04194868925148901,-0.04194868925148901,-0.04194868925148901,0.0,0.0,0.0,661.7165857335314
104,2020-12-22,665.833589485404,602.7074252197837,732.2913335666045,665.833589485404,665.833589485404,3.0293161804261657,3.0293161804261657,3.0293161804261657,3.0293161804261657,3.0293161804261657,3.0293161804261657,0.0,0.0,0.0,668.8629056658301
